Ligand,SMILES,LGFE(kcal/mol),LE(kcal/mol),PoseNo
Z1070138446,O=C(CCC(=O)NCc1ccc2c(c1)OCCCO2)NCC(=O)c1ccc(F)cc1F,-15.170,-0.489,01
Z1070138446,O=C(CCC(=O)NCc1ccc2c(c1)OCCCO2)NCC(=O)c1ccc(F)cc1F,-14.927,-0.482,02
Z27595027,CC(=O)c1ccc(OCCCC(=O)N(Cc2nnc(-c3ccc(Cl)cc3)o2)C2CC2)cc1,-14.894,-0.465,01
Z27595027,CC(=O)c1ccc(OCCCC(=O)N(Cc2nnc(-c3ccc(Cl)cc3)o2)C2CC2)cc1,-14.879,-0.465,02
Z57103005,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,-14.713,-0.545,01
Z1070138446,O=C(CCC(=O)NCc1ccc2c(c1)OCCCO2)NCC(=O)c1ccc(F)cc1F,-14.696,-0.474,03
Z1070138446,O=C(CCC(=O)NCc1ccc2c(c1)OCCCO2)NCC(=O)c1ccc(F)cc1F,-14.686,-0.474,04
Z1070138446,O=C(CCC(=O)NCc1ccc2c(c1)OCCCO2)NCC(=O)c1ccc(F)cc1F,-14.683,-0.474,05
Z223684556,CCOc1ccc(C(=O)CCC(=O)Nc2cccc(-c3nnnn3C)c2)cc1,-14.648,-0.523,01
Z223684556,CCOc1ccc(C(=O)CCC(=O)Nc2cccc(-c3nnnn3C)c2)cc1,-14.566,-0.520,02
Z91044787,CC(=O)c1ccc(S(=O)(=O)Nc2ccc(C(=O)N3CCN(CC(=O)NC4CC4)CC3)cc2)cc1,-14.566,-0.428,01
Z223684556,CCOc1ccc(C(=O)CCC(=O)Nc2cccc(-c3nnnn3C)c2)cc1,-14.446,-0.516,03
Z641346294,COCCNC(=O)CN1CCN([C@@H](C)c2nc(C3CC3)no2)CC1,-14.341,-0.598,01
Z641346294,COCCNC(=O)CN1CCN([C@@H](C)c2nc(C3CC3)no2)CC1,-14.337,-0.597,02
Z223684556,CCOc1ccc(C(=O)CCC(=O)Nc2cccc(-c3nnnn3C)c2)cc1,-14.333,-0.512,04
Z57103005,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,-14.293,-0.529,02
Z57103005,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,-14.163,-0.525,03
Z57103005,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O,-14.107,-0.522,04
Z1272603448,CCO[C@H](C)c1noc(CN2CCN(c3cc(CC)ncn3)CC2)n1,-14.056,-0.562,01
Z641346294,COCCNC(=O)CN1CCN([C@@H](C)c2nc(C3CC3)no2)CC1,-14.049,-0.585,03
Z27595027,CC(=O)c1ccc(OCCCC(=O)N(Cc2nnc(-c3ccc(Cl)cc3)o2)C2CC2)cc1,-14.020,-0.438,03
Z229450060,CCOc1ccc(OCC)c(NC(=O)CN2CCC(C(=O)c3ccc(OC)cc3)CC2)c1,-13.945,-0.436,01
