Cluster_ID,Common_Bits_Count,Size
0,26,57
1,27,30
2,39,32
3,34,28
4,27,26
5,35,26
6,21,25
7,25,24
8,25,21
9,56,1
10,39,21
11,34,21
12,21,21
13,34,19
14,34,19
15,8,19
16,13,19
17,37,19
18,25,14
19,14,14
20,33,10
21,26,18
22,38,18
23,36,18
24,41,18
25,20,15
26,16,14
27,35,12
28,26,12
29,40,17
30,36,6
31,22,11
32,26,16
33,23,16
34,21,16
35,38,16
36,28,13
37,25,12
38,25,11
39,41,3
40,23,14
41,34,12
42,28,6
43,39,14
44,21,13
45,26,14
46,12,14
47,24,12
48,23,9
49,21,11
50,30,4
51,31,13
52,25,13
53,27,12
54,32,3
55,21,9
56,21,7
57,47,2
58,45,13
59,48,2
60,38,3
61,25,9
62,33,5
63,31,9
64,18,6
65,37,11
66,42,10
67,21,6
68,39,9
69,29,7
70,17,8
71,36,6
72,65,1
73,40,2
74,13,10
75,37,4
76,42,3
77,43,10
78,57,1
79,31,10
80,39,4
81,39,3
82,27,8
83,33,6
84,35,8
85,43,9
86,37,10
87,28,10
88,31,10
89,16,9
90,31,10
91,40,9
92,35,5
93,28,10
94,37,6
95,26,9
96,41,8
97,39,3
98,63,1
99,27,9
100,27,8
101,29,5
102,28,3
103,16,6
104,31,9
105,22,9
106,31,3
107,44,2
108,26,9
109,36,9
110,30,6
111,31,7
112,34,8
113,35,6
114,44,7
115,36,3
116,26,9
117,39,5
118,34,9
119,52,1
120,32,5
121,37,7
122,36,8
123,36,8
124,23,8
125,34,6
126,35,3
127,31,8
128,42,2
129,34,7
130,25,8
131,35,3
132,51,2
133,57,1
134,42,7
135,56,1
136,30,6
137,47,3
138,48,2
139,27,7
140,32,5
141,33,5
142,37,6
143,29,8
144,38,8
145,39,8
146,34,4
147,40,5
148,39,5
149,33,8
150,29,8
151,41,3
152,20,7
153,37,3
154,40,2
155,30,5
156,31,6
157,38,7
158,47,6
159,39,7
160,35,7
161,42,5
162,42,2
163,40,2
164,16,7
165,59,1
166,35,7
167,40,2
168,37,6
169,59,1
170,46,2
171,35,7
172,32,4
173,26,4
174,40,5
175,46,2
176,36,7
177,37,4
178,32,3
179,31,7
180,29,6
181,32,5
182,45,2
183,43,3
184,37,7
185,41,2
186,37,7
187,48,3
188,52,1
189,20,7
190,32,4
191,37,6
192,45,6
193,29,6
194,34,6
195,52,1
196,37,6
197,34,2
198,26,4
199,26,6
200,34,5
201,44,2
202,22,6
203,28,6
204,29,5
205,38,6
206,28,5
207,40,4
208,44,2
209,28,6
210,46,2
211,36,5
212,21,6
213,27,6
214,31,3
215,27,6
216,45,2
217,45,3
218,32,4
219,57,2
220,46,2
221,29,5
222,33,3
223,36,3
224,31,4
225,56,1
226,47,2
227,32,5
228,21,6
229,45,2
230,37,6
231,27,6
232,47,2
