Cluster_ID,Compound_ID,HBA,HBD,HBD_plus_HBA,LE,LGFE,MW,Rescore_Total,RotB,Substructure Convergence,TPSA,logP
1532,Z95480923,5,2,7,-0.316,-8.519,370.41,-8.835,4,Substructure Converged,85.89,3.69
5433,Z319903164,4,2,6,-0.475,-9.507,450.17,-9.982,8,Substructure Converged,92.34,1.43
5432,Z56959149,5,3,8,-0.382,-8.031,369.24,-8.413,6,Substructure Converged,100.87,2.15
1533,Z296669858,4,2,6,-0.475,-9.019,351.22,-9.494,8,Substructure Converged,84.50,0.74
5431,Z1413676182,6,1,7,-0.369,-9.605,358.44,-9.974,4,Substructure Converged,80.49,3.80
5430,Z1396875551,6,1,7,-0.401,-7.628,366.26,-8.029,7,Substructure Converged,85.09,2.03
5429,Z95574045,5,2,7,-0.363,-9.799,372.42,-10.162,7,Substructure Converged,85.89,4.30
1532,Z108626132,5,2,7,-0.44,-11.874,370.41,-12.314,4,Substructure Converged,85.89,3.69
1531,Z96209026,8,1,9,-0.413,-8.252,370.26,-8.665,5,Substructure Converged,90.72,3.23
198,Z18357071,5,3,8,-0.443,-8.863,352.63,-9.306,5,Substructure Converged,96.69,3.08
1531,Z96184108,7,2,9,-0.474,-9.478,353.20,-9.952,5,Substructure Converged,106.51,2.49
5428,Z45669990,5,2,7,-0.354,-7.438,389.25,-7.792,3,Substructure Converged,84.50,2.64
1529,Z56837147,4,2,6,-0.412,-9.073,405.70,-9.485,7,Substructure Converged,81.42,3.88
189,Z45582468,4,1,5,-0.387,-8.512,404.31,-8.899,6,Substructure Converged,80.31,2.96
5427,Z118692420,5,2,7,-0.421,-10.103,354.43,-10.524,3,Substructure Converged,101.57,1.95
5426,Z108845296,5,2,7,-0.346,-8.99,357.41,-9.336,6,Substructure Converged,89.55,3.37
5425,Z297488974,3,2,5,-0.372,-8.175,403.69,-8.547,5,Substructure Converged,89.26,3.14
531,Z271132796,4,2,6,-0.364,-8.007,405.30,-8.371,6,Substructure Converged,106.33,2.04
189,Z45627945,4,2,6,-0.365,-8.026,382.24,-8.391,5,Substructure Converged,84.08,3.13
5424,Z317471786,5,2,7,-0.35,-7.696,445.77,-8.046,6,Substructure Converged,92.34,3.34
1530,Z199511354,4,2,6,-0.372,-8.19,382.24,-8.562,5,Substructure Converged,84.08,3.13
5423,Z1491246013,5,2,7,-0.416,-9.566,382.91,-9.982,7,Substructure Converged,100.16,-1.10
189,Z45582445,5,1,6,-0.373,-8.588,420.31,-8.961,7,Substructure Converged,89.54,2.66
189,Z45638865,4,2,6,-0.35,-8.043,399.27,-8.393,7,Substructure Converged,84.50,3.22
5422,Z281858294,4,2,6,-0.375,-8.632,379.21,-9.007,7,Substructure Converged,90.65,2.57
530,Z28051670,6,1,7,-0.458,-10.53,374.20,-10.988,5,Substructure Converged,81.93,2.69
529,Z64471724,5,2,7,-0.408,-9.378,356.43,-9.786,8,Substructure Converged,115.56,1.45
1529,Z56828921,5,2,7,-0.418,-9.611,401.28,-10.029,9,Substructure Converged,90.65,3.24
531,Z271132800,4,2,6,-0.378,-8.688,419.32,-9.066,7,Substructure Converged,106.33,2.35
5421,Z381628834,4,2,6,-0.335,-7.707,439.74,-8.042,6,Substructure Converged,92.34,3.27
5420,Z319917856,4,1,5,-0.431,-9.908,425.37,-10.339,7,Substructure Converged,83.55,1.85
